code,product_name,brands,categories,categories_tags,countries,countries_tags,nutriscore_grade,nova_group,last_modified_t,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,sodium_100g,product_name_pref,last_modified_ts,has_name,has_brands,core_nutrients_count,completeness_score
00000005,,,,,en:france,en:france,,,1767072233,,,,,,,,,,,2025-12-30T05:23:53.000Z,0,0,0,0.0
00000021,Inulin Prebiotic Fiber,it's just!,,,en:france,en:france,unknown,,1750851740,,,,,,,,,,Inulin Prebiotic Fiber,2025-06-25T11:42:20.000Z,1,1,0,0.2857142857142857
00000040,scourban Plus 100 ml,amazing grass,,,en:ireland,en:ireland,unknown,,1745075931,30.0,126.0,,,,,2.0,3.0,,scourban Plus 100 ml,2025-04-19T15:18:51.000Z,1,1,2,0.5714285714285714
00000047,Confirure de fruits rouges,nature's bounty,,,en:fr,en:france,unknown,,1749070042,,,,,,,,,,Confirure de fruits rouges,2025-06-04T20:47:22.000Z,1,1,0,0.2857142857142857
00000057,Wonderful pistachios,wonderful,nuts,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products,en:nuts",en:france,en:france,unknown,,1743472433,,,,,,,,,,Wonderful pistachios,2025-04-01T01:53:53.000Z,1,1,0,0.2857142857142857
00000075,,,,,en:united kingdom,en:united-kingdom,unknown,4,1750938448,,,,,,,,,,,2025-06-26T11:47:28.000Z,0,0,0,0.0
00000076,Gammon steaks,tesco,,,en:united kingdom,en:united-kingdom,unknown,,1728034874,,,,,,,,,,Gammon steaks,2024-10-04T09:41:14.000Z,1,1,0,0.2857142857142857
00000087,leite egua,piraque,ayurvedic herb,en:ayurvedic-herb,brasil,en:brazil,unknown,,1741442319,,,,,,,,,,leite egua,2025-03-08T13:58:39.000Z,1,1,0,0.2857142857142857
00000109,Vegan 3k proetin,nutri,"beverages and beverages preparations, beverages, dietary supplements, bodybuilding supplements, protein powders","en:beverages-and-beverages-preparations,en:beverages,en:dietary-supplements,en:bodybuilding-supplements,en:protein-powders",de,en:germany,not-applicable,,1749575671,367.0,1530.0,2.67,0.0,0.0,0.0,80.0,,0.0,Vegan 3k proetin,2025-06-10T17:14:31.000Z,1,1,5,1.0
00000122,High protein iced coffee  latte macchiato,herbalife,,,stati uniti d'america,en:united-states,unknown,,1728036680,364.0,1523.0,4.59999990463257,2.29999995231628,3.20000004768372,,68.0,2.29999995231628,,High protein iced coffee  latte macchiato,2024-10-04T10:11:20.000Z,1,1,4,0.8571428571428571
